kernel,reference rows,train rows,test rows,part,site,"P,R",test time (in loop)
linear,200,500,215,0,1,"P=0.9474, R=0.99",2.3594
linear,200,500,215,0,2,"P=0.9431, R=0.995",0.1101
linear,200,500,215,1,1,"P=0.9804, R=1.0",0.144
linear,200,500,215,1,2,"P=0.9756, R=1.0",0.1292
linear,200,500,215,2,1,"P=0.9804, R=1.0",0.1475
linear,200,500,215,2,2,"P=0.9804, R=1.0",0.137
linear,200,500,2000,0,1,"P=0.9157, R=0.989",2.3541
linear,200,500,2000,0,2,"P=0.9064, R=0.9925",1.9664
linear,200,500,2000,1,1,"P=0.8306, R=1.0",2.2079
linear,200,500,2000,1,2,"P=0.821, R=1.0",2.1252
linear,200,500,2000,2,1,"P=0.8576, R=1.0",2.0908
linear,200,500,2000,2,2,"P=0.8606, R=1.0",2.0797
linear,200,500,5000,0,1,"P=0.9014, R=0.9896",14.9458
linear,200,500,5000,0,2,"P=0.886, R=0.9936",12.8366
linear,200,500,5000,1,1,"P=0.7964, R=1.0",13.7743
linear,200,500,5000,1,2,"P=0.7876, R=1.0",12.6866
linear,200,500,5000,2,1,"P=0.8091, R=1.0",12.6045
linear,200,500,5000,2,2,"P=0.8106, R=1.0",12.2692
linear,200,500,10000,0,1,"P=0.824, R=0.9904",53.8113
linear,200,500,10000,0,2,"P=0.805, R=0.9939",54.8361
linear,200,500,10000,1,1,"P=0.7466, R=1.0",51.5626
linear,200,500,10000,1,2,"P=0.7349, R=1.0",51.6337
linear,200,500,10000,2,1,"P=0.7527, R=1.0",49.5973
linear,200,500,10000,2,2,"P=0.7405, R=1.0",52.6695
linear,200,2000,858,0,1,"P=0.9796, R=0.96",0.5353
linear,200,2000,858,0,2,"P=0.9806, R=0.9518",0.532
linear,200,2000,858,1,1,"P=0.9768, R=1.0",0.4313
linear,200,2000,858,1,2,"P=0.9744, R=1.0",0.4471
linear,200,2000,858,2,1,"P=0.9852, R=1.0",0.4674
linear,200,2000,858,2,2,"P=0.9804, R=1.0",0.4382
linear,200,2000,2000,0,1,"P=0.9692, R=0.96",2.4175
linear,200,2000,2000,0,2,"P=0.9656, R=0.9545",2.2133
linear,200,2000,2000,1,1,"P=0.9217, R=1.0",2.2187
linear,200,2000,2000,1,2,"P=0.9183, R=1.0",2.0131
linear,200,2000,2000,2,1,"P=0.9311, R=1.0",2.1767
linear,200,2000,2000,2,2,"P=0.9268, R=1.0",2.0772
linear,200,2000,5000,0,1,"P=0.9625, R=0.9633",15.6076
linear,200,2000,5000,0,2,"P=0.9565, R=0.9578",13.6514
linear,200,2000,5000,1,1,"P=0.9114, R=1.0",13.448
linear,200,2000,5000,1,2,"P=0.9078, R=1.0",12.5315
linear,200,2000,5000,2,1,"P=0.9127, R=1.0",13.6522
linear,200,2000,5000,2,2,"P=0.9114, R=1.0",12.5449
linear,200,2000,10000,0,1,"P=0.9488, R=0.963",59.6695
linear,200,2000,10000,0,2,"P=0.9212, R=0.9584",60.4791
linear,200,2000,10000,1,1,"P=0.882, R=1.0",54.3401
linear,200,2000,10000,1,2,"P=0.8747, R=1.0",56.3583
linear,200,2000,10000,2,1,"P=0.8903, R=1.0",54.8767
linear,200,2000,10000,2,2,"P=0.8731, R=1.0",55.4137
linear,2000,500,215,0,1,"P=0.9476, R=0.995",0.1398
linear,2000,500,215,0,2,"P=0.939, R=1.0",0.1398
linear,2000,500,215,1,1,"P=0.9804, R=1.0",0.149
linear,2000,500,215,1,2,"P=0.9804, R=1.0",0.1357
linear,2000,500,215,2,1,"P=0.9804, R=1.0",0.1517
linear,2000,500,215,2,2,"P=0.9804, R=1.0",0.1396
linear,2000,500,2000,0,1,"P=0.9216, R=0.988",2.2969
linear,2000,500,2000,0,2,"P=0.9076, R=0.992",1.8568
linear,2000,500,2000,1,1,"P=0.8511, R=1.0",2.2086
linear,2000,500,2000,1,2,"P=0.8453, R=1.0",2.1298
linear,2000,500,2000,2,1,"P=0.8606, R=1.0",2.1979
linear,2000,500,2000,2,2,"P=0.8658, R=1.0",1.9962
linear,2000,500,5000,0,1,"P=0.9029, R=0.9884",14.3338
linear,2000,500,5000,0,2,"P=0.889, R=0.9934",12.2645
linear,2000,500,5000,1,1,"P=0.8143, R=1.0",12.9046
linear,2000,500,5000,1,2,"P=0.8078, R=1.0",12.0959
linear,2000,500,5000,2,1,"P=0.8143, R=1.0",12.9524
linear,2000,500,5000,2,2,"P=0.8183, R=1.0",12.1027
linear,2000,500,10000,0,1,"P=0.8159, R=0.9862",51.2154
linear,2000,500,10000,0,2,"P=0.8062, R=0.9933",53.4033
linear,2000,500,10000,1,1,"P=0.7561, R=1.0",51.9577
linear,2000,500,10000,1,2,"P=0.7495, R=1.0",53.4846
linear,2000,500,10000,2,1,"P=0.7563, R=1.0",51.981
linear,2000,500,10000,2,2,"P=0.7474, R=1.0",54.0709
linear,2000,2000,858,0,1,"P=0.9739, R=0.9671",0.5281
linear,2000,2000,858,0,2,"P=0.9736, R=0.9529",0.4601
linear,2000,2000,858,1,1,"P=0.978, R=1.0",0.4367
linear,2000,2000,858,1,2,"P=0.978, R=1.0",0.4426
linear,2000,2000,858,2,1,"P=0.9852, R=1.0",0.4709
linear,2000,2000,858,2,2,"P=0.9828, R=1.0",0.4393
linear,2000,2000,2000,0,1,"P=0.9674, R=0.964",2.4322
linear,2000,2000,2000,0,2,"P=0.9661, R=0.9545",2.1079
linear,2000,2000,2000,1,1,"P=0.9355, R=1.0",2.3924
linear,2000,2000,2000,1,2,"P=0.9276, R=1.0",2.0899
linear,2000,2000,2000,2,1,"P=0.9355, R=1.0",2.32
linear,2000,2000,2000,2,2,"P=0.9328, R=1.0",2.2043
linear,2000,2000,5000,0,1,"P=0.9609, R=0.9663",15.567
linear,2000,2000,5000,0,2,"P=0.9565, R=0.958",13.9499
linear,2000,2000,5000,1,1,"P=0.9184, R=1.0",13.6238
linear,2000,2000,5000,1,2,"P=0.9137, R=1.0",12.5037
linear,2000,2000,5000,2,1,"P=0.9215, R=1.0",13.6588
linear,2000,2000,5000,2,2,"P=0.9117, R=1.0",12.7173
linear,2000,2000,10000,0,1,"P=0.9427, R=0.9623",56.7312
linear,2000,2000,10000,0,2,"P=0.9196, R=0.9539",58.2156
linear,2000,2000,10000,1,1,"P=0.8831, R=1.0",54.4887
linear,2000,2000,10000,1,2,"P=0.8738, R=1.0",55.2286
linear,2000,2000,10000,2,1,"P=0.8965, R=1.0",54.6202
linear,2000,2000,10000,2,2,"P=0.8667, R=1.0",52.5462
rbf,200,500,215,0,1,"P=0.9522, R=0.995",0.1416
rbf,200,500,215,0,2,"P=0.9387, R=0.995",0.1199
rbf,200,500,215,1,1,"P=0.9804, R=1.0",0.1533
rbf,200,500,215,1,2,"P=0.9901, R=1.0",0.1294
rbf,200,500,215,2,1,"P=0.9901, R=1.0",0.1423
rbf,200,500,215,2,2,"P=0.9852, R=1.0",0.1306
rbf,200,500,2000,0,1,"P=0.8962, R=0.9885",3.2955
rbf,200,500,2000,0,2,"P=0.8843, R=0.99",2.8698
rbf,200,500,2000,1,1,"P=0.8718, R=1.0",2.8219
rbf,200,500,2000,1,2,"P=0.8658, R=1.0",2.7855
rbf,200,500,2000,2,1,"P=0.8985, R=1.0",2.8234
rbf,200,500,2000,2,2,"P=0.8842, R=1.0",2.7361
rbf,200,500,5000,0,1,"P=0.8871, R=0.9884",20.3167
rbf,200,500,5000,0,2,"P=0.8743, R=0.9916",18.7216
rbf,200,500,5000,1,1,"P=0.8308, R=1.0",17.5767
rbf,200,500,5000,1,2,"P=0.8226, R=1.0",16.8183
rbf,200,500,5000,2,1,"P=0.8606, R=1.0",17.5159
rbf,200,500,5000,2,2,"P=0.8367, R=1.0",17.1202
rbf,200,500,10000,0,1,"P=0.8244, R=0.9884",78.5399
rbf,200,500,10000,0,2,"P=0.8127, R=0.9915",84.2728
rbf,200,500,10000,1,1,"P=0.7806, R=1.0",71.8944
rbf,200,500,10000,1,2,"P=0.7727, R=1.0",72.4115
rbf,200,500,10000,2,1,"P=0.8044, R=1.0",70.8107
rbf,200,500,10000,2,2,"P=0.7804, R=1.0",83.363
rbf,200,2000,858,0,1,"P=0.9793, R=0.9459",1.1503
rbf,200,2000,858,0,2,"P=0.9734, R=0.9471",0.8491
rbf,200,2000,858,1,1,"P=0.9804, R=1.0",0.9817
rbf,200,2000,858,1,2,"P=0.9768, R=1.0",0.7714
rbf,200,2000,858,2,1,"P=0.9852, R=1.0",0.8492
rbf,200,2000,858,2,2,"P=0.9828, R=1.0",0.9001
rbf,200,2000,2000,0,1,"P=0.9628, R=0.944",5.3274
rbf,200,2000,2000,0,2,"P=0.958, R=0.9465",4.4603
rbf,200,2000,2000,1,1,"P=0.9434, R=1.0",4.2722
rbf,200,2000,2000,1,2,"P=0.939, R=1.0",3.9182
rbf,200,2000,2000,2,1,"P=0.9579, R=1.0",4.1368
rbf,200,2000,2000,2,2,"P=0.947, R=1.0",3.888
rbf,200,2000,5000,0,1,"P=0.9565, R=0.9515",31.2796
rbf,200,2000,5000,0,2,"P=0.9501, R=0.9528",28.0426
rbf,200,2000,5000,1,1,"P=0.9263, R=1.0",25.3994
rbf,200,2000,5000,1,2,"P=0.9208, R=1.0",24.2877
rbf,200,2000,5000,2,1,"P=0.9297, R=1.0",25.4484
rbf,200,2000,5000,2,2,"P=0.9222, R=1.0",23.938
rbf,200,2000,10000,0,1,"P=0.9353, R=0.9513",121.4705
rbf,200,2000,10000,0,2,"P=0.9176, R=0.953",117.7815
rbf,200,2000,10000,1,1,"P=0.8908, R=1.0",100.4583
rbf,200,2000,10000,1,2,"P=0.8812, R=1.0",98.9183
rbf,200,2000,10000,2,1,"P=0.8948, R=1.0",98.9296
rbf,200,2000,10000,2,2,"P=0.8814, R=1.0",96.7884
rbf,2000,500,215,0,1,"P=0.9474, R=0.99",0.2589
rbf,2000,500,215,0,2,"P=0.9384, R=0.99",0.1218
rbf,2000,500,215,1,1,"P=0.9804, R=1.0",0.1228
rbf,2000,500,215,1,2,"P=0.9804, R=1.0",0.1151
rbf,2000,500,215,2,1,"P=0.9852, R=1.0",0.1459
rbf,2000,500,215,2,2,"P=0.9852, R=1.0",0.1284
rbf,2000,500,2000,0,1,"P=0.9012, R=0.9855",3.2556
rbf,2000,500,2000,0,2,"P=0.8899, R=0.99",3.0549
rbf,2000,500,2000,1,1,"P=0.8741, R=1.0",3.1287
rbf,2000,500,2000,1,2,"P=0.8711, R=1.0",2.9327
rbf,2000,500,2000,2,1,"P=0.9066, R=1.0",3.1509
rbf,2000,500,2000,2,2,"P=0.8977, R=1.0",3.0441
rbf,2000,500,5000,0,1,"P=0.8927, R=0.9866",21.5396
rbf,2000,500,5000,0,2,"P=0.8775, R=0.9906",20.1687
rbf,2000,500,5000,1,1,"P=0.8449, R=1.0",19.2947
rbf,2000,500,5000,1,2,"P=0.8443, R=1.0",18.3114
rbf,2000,500,5000,2,1,"P=0.8663, R=1.0",18.872
rbf,2000,500,5000,2,2,"P=0.8591, R=1.0",18.0913
rbf,2000,500,10000,0,1,"P=0.8202, R=0.9835",80.0921
rbf,2000,500,10000,0,2,"P=0.8075, R=0.9902",83.2556
rbf,2000,500,10000,1,1,"P=0.7839, R=1.0",80.3429
rbf,2000,500,10000,1,2,"P=0.7824, R=1.0",78.5245
rbf,2000,500,10000,2,1,"P=0.8039, R=1.0",73.8305
rbf,2000,500,10000,2,2,"P=0.791, R=1.0",76.4385
rbf,2000,2000,858,0,1,"P=0.9745, R=0.9435",0.9957
rbf,2000,2000,858,0,2,"P=0.9734, R=0.9471",0.8791
rbf,2000,2000,858,1,1,"P=0.978, R=1.0",0.7878
rbf,2000,2000,858,1,2,"P=0.978, R=1.0",0.7838
rbf,2000,2000,858,2,1,"P=0.9852, R=1.0",0.661
rbf,2000,2000,858,2,2,"P=0.9852, R=1.0",0.6287
rbf,2000,2000,2000,0,1,"P=0.9622, R=0.9425",4.4717
rbf,2000,2000,2000,0,2,"P=0.9595, R=0.947",3.9551
rbf,2000,2000,2000,1,1,"P=0.9461, R=1.0",3.8983
rbf,2000,2000,2000,1,2,"P=0.9398, R=1.0",3.7487
rbf,2000,2000,2000,2,1,"P=0.9551, R=1.0",3.9583
rbf,2000,2000,2000,2,2,"P=0.947, R=1.0",3.7156
rbf,2000,2000,5000,0,1,"P=0.9544, R=0.9478",28.3182
rbf,2000,2000,5000,0,2,"P=0.9494, R=0.9517",27.0051
rbf,2000,2000,5000,1,1,"P=0.9273, R=1.0",23.9441
rbf,2000,2000,5000,1,2,"P=0.9208, R=1.0",23.3548
rbf,2000,2000,5000,2,1,"P=0.9308, R=1.0",23.7577
rbf,2000,2000,5000,2,2,"P=0.9211, R=1.0",22.3419
rbf,2000,2000,10000,0,1,"P=0.9282, R=0.9431",110.5514
rbf,2000,2000,10000,0,2,"P=0.9133, R=0.9468",107.2786
rbf,2000,2000,10000,1,1,"P=0.8894, R=1.0",95.9162
rbf,2000,2000,10000,1,2,"P=0.8777, R=1.0",96.7517
rbf,2000,2000,10000,2,1,"P=0.8983, R=1.0",96.0215
rbf,2000,2000,10000,2,2,"P=0.8741, R=1.0",95.6205
